source_field,copy_action,format_action,timestamp_format,destination_field,Notes
stats.defrag.ipv6.reassembled,,,,,['long']
stats.defrag.ipv6.timeouts,,,,,['long']
stats.defrag.max_frag_hits,,,,,['long']
stats.detect.alert,,,,,['long']
stats.detect.engines.id,,,,,['long']
stats.detect.engines.last_reload,,,,,['date']
stats.detect.engines.rules_failed,,,,,['long']
stats.detect.engines.rules_loaded,,,,,['long']
stats.flow.emerg_mode_entered,,,,,['long']
stats.flow.emerg_mode_over,,,,,['long']
stats.flow.icmpv4,,,,,['long']
stats.flow.icmpv6,,,,,['long']
stats.flow.memcap,,,,,['long']
stats.flow.memuse,,,,,['long']
stats.flow.spare,,,,,['long']
stats.flow.tcp,,,,,['long']
stats.flow.tcp_reuse,,,,,['long']
stats.flow.udp,,,,,['long']
stats.flow_bypassed.bytes,,,,,['long']
stats.flow_bypassed.closed,,,,,['long']
stats.flow_bypassed.local_bytes,,,,,['long']
stats.flow_bypassed.local_capture_bytes,,,,,['long']
stats.flow_bypassed.local_capture_pkts,,,,,['long']
stats.flow_bypassed.local_pkts,,,,,['long']
stats.flow_bypassed.pkts,,,,,['long']
stats.flow_mgr.bypassed_pruned,,,,,['long']
stats.flow_mgr.closed_pruned,,,,,['long']
stats.flow_mgr.est_pruned,,,,,['long']
stats.flow_mgr.flows_checked,,,,,['long']
stats.flow_mgr.flows_notimeout,,,,,['long']
stats.flow_mgr.flows_removed,,,,,['long']
stats.flow_mgr.flows_timeout,,,,,['long']
stats.flow_mgr.flows_timeout_inuse,,,,,['long']
stats.flow_mgr.new_pruned,,,,,['long']
stats.flow_mgr.rows_busy,,,,,['long']
stats.flow_mgr.rows_checked,,,,,['long']
stats.flow_mgr.rows_empty,,,,,['long']
stats.flow_mgr.rows_maxlen,,,,,['long']
stats.flow_mgr.rows_skipped,,,,,['long']
stats.ftp.memcap,,,,,['long']
stats.ftp.memuse,,,,,['long']
stats.http.memcap,,,,,['long']
stats.http.memuse,,,,,['long']
stats.tcp.insert_data_normal_fail,,,,,['long']
stats.tcp.insert_data_overlap_fail,,,,,['long']
stats.tcp.insert_list_fail,,,,,['long']
stats.tcp.invalid_checksum,,,,,['long']
stats.tcp.memuse,,,,,['long']
stats.tcp.midstream_pickups,,,,,['long']
stats.tcp.no_flow,,,,,['long']
stats.tcp.overlap,,,,,['long']
stats.tcp.overlap_diff_data,,,,,['long']
stats.tcp.pkt_on_wrong_thread,,,,,['long']
stats.tcp.pseudo,,,,,['long']
stats.tcp.pseudo_failed,,,,,['long']
stats.tcp.reassembly_gap,,,,,['long']
stats.tcp.reassembly_memuse,,,,,['long']
stats.tcp.rst,,,,,['long']
stats.tcp.segment_memcap_drop,,,,,['long']
stats.tcp.sessions,,,,,['long']
stats.tcp.ssn_memcap_drop,,,,,['long']
stats.tcp.stream_depth_reached,,,,,['long']
stats.tcp.syn,,,,,['long']
stats.tcp.synack,,,,,['long']
stats.uptime,,,,,['long']
stream,,,,,['keyword']
tags,,,,,['text']
,copy,,,,
tcp.ack,,,,,['boolean']
tcp.cwr,,,,,['boolean']
tcp.ecn,,,,,['boolean']
tcp.fin,,,,,['boolean']
tcp.psh,,,,,['boolean']
tcp.rst,,,,,['boolean']
tcp.state,,,,,['text']
,,,,,
tcp.syn,,,,,['boolean']
tcp.tcp_flags,,,,,['text']
,,,,,
tcp.tcp_flags_tc,,,,,['text']
,,,,,
tcp.tcp_flags_ts,,,,,['text']
,,,,,
timestamp,,,,,['date']
tx_id,,,,,['long']
type,,,,,['text']
,,,,,
